name,display_name,lat,lon,height_m
Lurg Mhor,Lurg Mhor,57.41311,-5.22367,987
Mam Sodhail,Mam Sodhail,57.27982,-5.12027,1179
Maoile Lunndaidh,Maoile Lunndaidh,57.4645,-5.11101,1005
Maol Chean-dearg,Maol Chean-dearg,57.49172,-5.46555,933
Maol Chinn-dearg,Maol Chinn-dearg,57.12758,-5.25266,980
Mayar,Mayar,56.84894,-3.24629,928
Meall Buidhe,"Meall Buidhe (Glen Lyon, 932 m)",56.61724,-4.44865,932
Meall Buidhe,"Meall Buidhe (Knoydart, 946 m)",57.03158,-5.54635,946
Meall Chuaich,Meall Chuaich,56.96386,-4.11258,951
Meall Corranaich,Meall Corranaich,56.54096,-4.25347,1069
Meall Dearg (Aonach Eagach),Meall Dearg (Aonach Eagach),56.68074,-5.00329,952
Meall Garbh,"Meall Garbh (Glen Lyon, 968 m)",56.63739,-4.20748,968
Meall Garbh,"Meall Garbh (Ben Lawers range, 1123 m)",56.56613,-4.20772,1123
Meall Ghaordaidh,Meall Ghaordaidh,56.52582,-4.41667,1040
Meall Glas,Meall Glas,56.45572,-4.54683,959
Meall Gorm,Meall Gorm,57.68086,-4.9838,950
Meall Greigh,Meall Greigh,56.56744,-4.15956,1001
Meall a' Bhuiridh,Meall a' Bhuiridh,56.61223,-4.85213,1108
Meall a' Choire Leith,Meall a' Choire Leith,56.56632,-4.25962,926
Meall a' Chrasgaidh,Meall a' Chrasgaidh,57.71289,-5.04874,934
Meall na Aighean,Meall na Aighean,56.62064,-4.12875,981
Meall na Teanga,Meall na Teanga,56.98903,-4.93096,917
Meall nan Ceapraichean,Meall nan Ceapraichean,57.79853,-4.93401,977
Meall nan Eun,Meall nan Eun,56.56119,-4.94295,928
Meall nan Tarmachan,Meall nan Tarmachan,56.52167,-4.30136,1044
Monadh Mor,Monadh Mor,57.02681,-3.75007,1113
Moruisg,Moruisg,57.49974,-5.17064,928
Mount Keen,Mount Keen,56.96977,-2.97362,939
Mullach Clach a' Bhlair,Mullach Clach a' Bhlair,57.01189,-3.84128,1019
Mullach Coire Mhic Fhearchair,Mullach Coire Mhic Fhearchair,57.70904,-5.27135,1015
Mullach Fraoch-choire,Mullach Fraoch-choire,57.2054,-5.15566,1102
Mullach an Rathain (Liathach),Mullach an Rathain (Liathach),57.5609,-5.4925,1024
Mullach na Dheiragain,Mullach na Dheiragain,57.28342,-5.18636,982
Mullach nan Coirean,Mullach nan Coirean,56.74988,-5.07247,939
Na Gruagaichean,Na Gruagaichean,56.7437,-4.93989,1054
Ruadh Stac Mor,Ruadh Stac Mor,57.7268,-5.32929,919
Ruadh-stac Mor (Beinn Eighe),Ruadh-stac Mor (Beinn Eighe),57.59376,-5.42946,1010
Sail Chaorainn,Sail Chaorainn,57.19164,-5.09121,999
Saileag,Saileag,57.18129,-5.28133,956
Schiehallion,Schiehallion,56.66694,-4.10023,1083
Seana Bhraigh,Seana Bhraigh,57.84735,-4.89662,926
Sgairneach Mhor,Sgairneach Mhor,56.82846,-4.29779,991
Sgiath Chuil,Sgiath Chuil,56.45316,-4.49567,920
Sgor Gaibhre,Sgor Gaibhre,56.77257,-4.54651,955
Sgor Gaoith,Sgor Gaoith,57.06857,-3.81085,1118
Sgor an Lochain Uaine,Sgor an Lochain Uaine,57.05838,-3.7259,1258
